deletions	translocations	inversions	duplications	insertions
DTB-003-BL	320	146	84	22	10
DTB-005-BL	112	66	122	44	12
DTB-008-BL	74	161	71	32	3
DTB-009-BL	49	83	27	10	5
DTB-011-BL	42	39	25	10	3
DTB-018-BL	75	60	112	36	3
DTB-019-PRO	72	145	66	38	17
DTB-020-BL	55	72	55	33	4
DTB-021-BL	43	60	31	12	3
DTB-022-BL	51	52	18	15	2
DTB-023-BL	159	39	134	54	8
DTB-024-PRO	196	89	41	33	13
DTB-034-BL	80	51	41	22	2
DTB-035-BL	128	46	124	50	2
DTB-036-BL	128	78	73	15	6
DTB-037-BL	251	101	69	31	9
DTB-040-BL	52	39	44	20	7
DTB-042-BL	25	44	29	28	1
DTB-053-BL	72	101	68	30	3
DTB-055-PRO	83	101	71	32	6
DTB-059-BL	169	48	131	71	3
DTB-060-BL	38	52	32	14	0
DTB-061-BL	262	95	60	44	18
DTB-063-BL	66	272	87	393	12
DTB-064-BL	79	57	36	64	8
DTB-067-PRO	113	103	43	30	9
DTB-069-BL	88	104	136	43	15
DTB-071-BL	112	108	131	74	2
DTB-074-BL	128	51	94	29	2
DTB-077-PRO	52	69	48	31	13
DTB-080-BL	60	55	69	12	20
DTB-083-BL	122	102	79	44	8
DTB-085-BL	65	117	89	27	17
DTB-089-BL	64	90	55	28	9
DTB-090-PRO	66	142	85	27	6
DTB-091-BL	72	143	84	30	18
DTB-092-BL	124	410	148	89	17
DTB-094-BL	57	30	61	31	1
DTB-097-PRO	455	72	47	24	1
DTB-098-PRO2	49	55	50	23	4
DTB-100-BL	98	69	100	57	9
DTB-101-BL	97	86	91	83	10
DTB-102-PRO	152	72	260	138	4
DTB-104-BL	209	74	387	205	3
DTB-111-PRO	90	69	59	51	10
DTB-112-BL	47	221	46	23	3
DTB-119-PRO	45	69	24	19	5
DTB-121-BL	90	78	59	29	19
DTB-124-BL	139	137	74	20	24
DTB-126-BL	105	78	105	31	5
DTB-127-PRO	86	61	91	94	8
DTB-128-BL	107	78	75	45	1
DTB-129-BL	244	83	43	30	1
DTB-132-BL	65	47	58	31	1
DTB-135-PRO	67	117	63	43	6
DTB-137-PRO	46	28	65	17	1
DTB-138-BL	73	186	73	29	6
DTB-140-BL	90	146	81	25	21
DTB-141-BL	54	138	75	16	4
DTB-143-BL	75	103	60	35	11
DTB-146-BL	87	115	54	29	1
DTB-149-BL	85	30	85	43	3
DTB-151-BL	115	221	144	70	8
DTB-156-BL	128	138	66	30	9
DTB-159-BL	45	108	30	19	9
DTB-165-PRO	70	135	82	42	18
DTB-167-PRO	89	97	81	43	16
DTB-170-BL	102	38	80	65	3
DTB-172-BL	101	147	125	76	16
DTB-173-BL	281	108	39	26	15
DTB-175-BL	93	163	83	51	20
DTB-176-BL	238	150	105	53	22
DTB-183-BL	68	113	102	391	20
DTB-186-BL	70	67	117	36	9
DTB-187-BL	53	70	38	10	16
DTB-188-BL	93	54	62	26	6
DTB-190-BL	122	124	110	34	6
DTB-193-BL	31	28	25	18	1
DTB-194-PRO	49	34	44	29	6
DTB-201-PRO	64	120	48	23	19
DTB-202-BL	52	157	79	39	0
DTB-204-BL	102	45	62	23	2
DTB-205-BL	135	373	217	170	28
DTB-206-BL	36	61	30	15	5
DTB-210-BL	146	132	111	52	5
DTB-213-BL	57	50	12	10	7
DTB-214-BL	65	80	48	360	8
DTB-216-PRO	59	48	58	32	3
DTB-220-BL	116	144	72	50	14
DTB-222-BL	75	49	33	14	7
DTB-223-BL	65	111	55	59	2
DTB-232-PRO	42	99	66	27	0
DTB-234-BL	173	122	106	60	54
DTB-251-BL	57	70	42	31	11
DTB-252-BL	80	89	72	45	4
DTB-255-BL	91	118	92	21	31
DTB-258-BL	74	124	69	43	3
DTB-260-BL	150	77	100	47	1
DTB-261-BL	60	19	57	29	4
DTB-265-PRO	223	83	304	120	7
DTB-266-BL	57	52	78	22	5
