dhs_enrichment,footprints0.05_enrichment,footprints0.01_enrichment,footprints0.001_enrichment,footprints0.0001_enrichment
1.425862804,2.494152047,2.660153524,2.833607908,2.660153524
1.448387795,2.668961202,2.726752504,2.783171521,2.726752504
1.413367121,2.645781638,2.744420446,2.723673793,2.744420446
1.435957949,2.495611469,2.641718642,2.738853503,2.641718642
1.424952097,2.626231527,2.71316726,2.63803681,2.71316726
1.430739632,2.519196692,2.703546099,2.808163265,2.703546099
1.430433853,2.507348618,2.736539842,2.900505902,2.736539842
1.439664444,2.613357843,2.548128342,2.74980016,2.548128342
1.436112005,2.508823529,2.705464869,2.752,2.705464869
1.442767838,2.519196692,2.71316726,2.763052209,2.71316726
1.428297055,2.528156491,2.815361891,2.727993656,2.815361891
1.423891075,2.546268657,2.582655827,2.741035857,2.582655827
1.439354839,2.649068323,2.730659026,2.670807453,2.730659026
1.433804627,2.508823529,2.688293371,2.88590604,2.688293371
1.435803926,2.600609756,2.718972896,2.765273312,2.718972896
1.406831319,2.611757502,2.732616487,2.658423493,2.732616487
1.428449472,2.672305764,2.618131868,2.756410256,2.618131868
1.437345646,2.679020101,2.76031861,2.712933754,2.76031861
1.438117748,2.550837321,2.582655827,2.677042802,2.582655827
1.406979189,2.553892216,2.614540466,2.683307332,2.614540466
1.448231094,2.561561562,2.70931059,2.828947368,2.70931059
1.436882782,2.550837321,2.722857143,2.646153846,2.722857143
1.435803926,2.71137953,2.678847505,2.723673793,2.678847505
1.429059464,2.587985437,2.632596685,2.68540203,2.632596685
1.426318594,2.555422409,2.720913633,2.650231125,2.720913633
1.439354839,2.595861229,2.726752504,2.821985234,2.726752504
1.444636305,2.640866873,2.768336964,2.763052209,2.768336964
1.434111849,2.591130012,2.58440678,2.895622896,2.58440678
1.41217428,2.529655991,2.643550624,2.747603834,2.643550624
1.436112005,2.707936508,2.632596685,2.734499205,2.632596685
1.450270856,2.553892216,2.697806086,2.898062342,2.697806086
1.421019108,2.603785104,2.612748458,2.63803681,2.612748458
1.451686368,2.645781638,2.66759972,2.719367589,2.66759972
1.427992319,2.488331389,2.717034925,2.631981637,2.717034925
1.425862804,2.591130012,2.758321274,2.819672131,2.758321274
