dhs_enrichment,footprints0.05_enrichment,footprints0.01_enrichment,footprints0.001_enrichment,footprints0.0001_enrichment
1.431810889,2.682389937,2.782481752,2.610015175,2.782481752
1.45215882,2.498535442,2.866165414,2.736674622,2.866165414
1.4295173,2.569277108,2.682617875,2.873851295,2.682617875
1.448074427,2.575483092,2.690190543,2.693813626,2.690190543
1.435342054,2.603785104,2.776402039,2.808163265,2.776402039
1.455158169,2.695954488,2.649061849,2.702278083,2.649061849
1.444792229,2.637600495,2.75234657,2.783171521,2.75234657
1.425710938,2.535671819,2.623537509,2.723673793,2.623537509
1.413367121,2.535671819,2.762318841,2.778675283,2.762318841
1.417407878,2.583282859,2.675087719,2.73015873,2.675087719
1.445572354,2.662297129,2.589673913,2.774193548,2.589673913
1.430281013,2.631091919,2.780452225,2.706530291,2.780452225
1.443857189,2.552363854,2.612748458,2.73015873,2.612748458
1.431657754,2.645781638,2.699716714,2.600151172,2.699716714
1.430281013,2.567730283,2.610958904,2.648190916,2.610958904
1.430128205,2.468171296,2.586160109,2.810457516,2.586160109
1.451214224,2.605375687,2.610958904,2.698039216,2.610958904
1.425710938,2.538690476,2.575675676,2.792207792,2.575675676
1.439664444,2.692550505,2.813284133,2.74980016,2.813284133
1.42162277,2.613357843,2.630779848,2.869057548,2.630779848
1.449328714,2.584848485,2.634416033,2.700156986,2.634416033
1.436882782,2.577039275,2.815361891,2.648190916,2.815361891
1.421924793,2.697659709,2.861861862,2.717219589,2.861861862
1.392634207,2.540202501,2.717034925,2.767497989,2.717034925
1.426318594,2.62300123,2.786549708,2.702278083,2.786549708
1.443701467,2.658977556,2.647222222,2.741035857,2.647222222
1.419662743,2.483983692,2.652748782,2.756410256,2.652748782
1.456107908,2.642503098,2.76031861,2.668735454,2.76031861
1.415609137,2.501466276,2.6545961,2.763052209,2.6545961
1.437191325,2.631091919,2.598500341,2.785425101,2.598500341
1.437037037,2.587985437,2.715099715,2.700156986,2.715099715
1.407719003,2.501466276,2.70163005,2.754203363,2.70163005
1.437037037,2.668961202,2.813284133,2.619954303,2.813284133
1.439354839,2.53718025,2.802941176,2.636015326,2.802941176
1.434419203,2.614960147,2.838421445,2.754203363,2.838421445
1.404322283,2.614960147,2.894457099,2.756410256,2.894457099
1.424648787,2.663960025,2.605604921,2.752,2.605604921
1.40668348,2.769480519,2.692090395,2.747603834,2.692090395
1.431351583,2.602196461,2.658298466,2.787682334,2.658298466
1.431504652,2.549312612,2.794721408,2.857142857,2.794721408
1.445572354,2.58015729,2.748377794,2.644119908,2.748377794
1.430586727,2.62300123,2.676966292,2.783171521,2.676966292
1.426774675,2.597442144,2.809137804,2.679127726,2.809137804
1.450427999,2.567730283,2.693992933,2.594268477,2.693992933
1.420114577,2.605375687,2.746397695,2.842975207,2.746397695
1.406387897,2.463893703,2.630779848,2.774193548,2.630779848
1.416058394,2.508823529,2.593197279,2.650231125,2.593197279
1.441990736,2.67565872,2.715099715,2.670807453,2.715099715
1.447604629,2.597442144,2.587915818,2.932651321,2.587915818
1.412025316,2.549312612,2.675087719,2.763052209,2.675087719
1.446822309,2.488331389,2.76031861,2.745411014,2.76031861
1.440284054,2.627849661,2.885692657,2.752,2.885692657
1.450113747,2.663960025,2.678847505,2.712933754,2.678847505
1.431657754,2.507348618,2.740474479,2.812755519,2.740474479
1.41217428,2.547789725,2.575675676,2.629969419,2.575675676
1.426774675,2.525162818,2.776402039,2.540620384,2.776402039
1.422982885,2.561561562,2.6091718,2.852404643,2.6091718
1.418759936,2.657320872,2.764321972,2.734499205,2.764321972
1.412919569,2.606968215,2.717034925,2.826622843,2.717034925
1.431198546,2.605375687,2.582655827,2.719367589,2.582655827
1.437037037,2.673981191,2.736539842,2.805872757,2.736539842
1.434419203,2.573928787,2.662011173,2.723673793,2.662011173
1.414861008,2.62138906,2.711237553,2.63803681,2.711237553
1.43488048,2.504403993,2.598500341,2.808163265,2.598500341
1.415459448,2.572376357,2.703546099,2.778675283,2.703546099
