"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","HT_Pvalue","IsSingleNode","known_HT_gene","Known_MS_gene","MS_Pvalue","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"5.648408671586716","0.0","0.17704101422942653","0.0","1","10","0.21","false","","","0.939","NTS","2.0","0","1","0","0.9839155409287658","false","0","NTS","0","0.0"
"4.648523985239852","2.3062730627306275E-4","0.21512204802540186","0.0","2","9","0.49","false","","","0.741","NTSR1","12.0","0","2","0","0.987375349532042","false","0","NTSR1","147928","0.5"
"4.110009225092251","0.0","0.2433084563155827","0.0","1","9","0.07979","false","","","0.356","CBY1","83.0","0","1","0","0.989238722404525","false","0","CBY1","0","0.0"
"3.1101245387453873","0.012940606928750119","0.32153053279448296","0.02879811930649427","83","8","0.572","false","","","0.653","CTNNB1","29.072289156626507","0","83","0","0.9926985310078015","false","0","CTNNB1","11250452","0.0203217395749902"
"4.5480857933579335","0.0","0.2198727212798864","0.0","1","9","0.912","false","","","0.877","C19orf60","95.0","0","1","0","0.9877228865281733","false","0","C19orf60","0","0.0"
"3.54820110701107","0.01155276618403273","0.2818329541761456","0.002015677491601344","95","8","0.357","false","","","0.232","MDFI","7.221052631578948","0","95","0","0.9911826951314495","false","0","MDFI","8410926","0.014287403903015966"
"4.617965867158672","0.0","0.21654555896821234","0.0","1","9",,"false","","",,"GIGYF1","19.0","0","1","0","0.9874810869648489","false","0","GIGYF1","0","0.0"
"3.6180811808118083","0.0014179935917476257","0.2763895971443141","0.10526315789473684","19","8","0.261","false","","","0.23","GRB10","40.526315789473685","0","19","0","0.9909408955681251","false","0","GRB10","1214622","0.07869087924489586"
"3.7318957564575648","3.915448486158922E-5","0.26796032506257145","0.23809523809523808","7","9","0.564","false","","","0.518","ING1","84.71428571428571","0","7","0","0.9905470735070673","false","0","ING1","96678","0.19015444015444016"
"2.8692343173431736","0.0678620730888944","0.3485250381802106","0.01379277201076509","289","8","0.902","false","","","0.138","TP53","20.664359861591695","0","289","0","0.9935320611856637","false","0","TP53","64629970","0.00855206960953222"
"3.5197186346863467","0.0022801526689074625","0.2841136192379517","0.09848484848484848","33","9","0.181","false","","YES","0.612","KAT2B","37.18181818181818","0","33","0","0.9912812503990092","false","0","KAT2B","2353994","0.04967576165422733"
"3.7764068265682655","1.6231105666755628E-4","0.2648019786863721","0.2692307692307692","13","9",,"false","","",,"SAP30","32.76923076923077","0","13","0","0.9903930559634315","false","0","SAP30","180188","0.12198622273249139"
"3.4208948339483394","0.003693052505657503","0.2923211757567586","0.060764587525150904","71","8",,"false","","",,"PCNA-AS1","18.04225352112676","0","71","0","0.9916232012666147","false","0","PCNA-AS1","5970326","0.029970520799213887"
"3.4208948339483394","0.003693052505657503","0.2923211757567586","0.060764587525150904","71","8","0.424","false","","","0.61","PCNA","18.04225352112676","0","71","0","0.9916232012666147","false","0","PCNA","5970326","0.029970520799213887"
"3.73869926199262","1.7006749407467322E-4","0.2674727037196965","0.09090909090909091","11","9","0.274","false","","","0.104","APEX1","46.72727272727273","0","11","0","0.9905235319654234","false","0","APEX1","196880","0.10711279461279462"
"4.277790590405904","5.6243913975566735E-5","0.2337655336010998","0.13333333333333333","6","9","0.102","false","","","0.328","XRCC1","11.0","0","6","0","0.9886581640470383","false","0","XRCC1","53124","0.19393939393939394"
"4.2388145756457565","4.908963312194441E-5","0.23591501401017437","0.3","5","9","0.692","false","","","0.384","MUTYH","38.8","0","5","0","0.9887930291500148","false","0","MUTYH","40748","0.3368421052631579"
"3.6891143911439115","3.000744347644884E-4","0.27106776694173546","0.2222222222222222","10","8","0.279","false","","","0.555","FEN1","59.7","0","10","0","0.9906951059129969","false","0","FEN1","373518","0.15050761421319797"
"3.552928966789668","6.25074354663077E-4","0.28145792087241567","0.02857142857142857","21","9","0.636","false","","","1.0E-7","HSPA1B","42.57142857142857","0","21","0","0.991166335755053","false","0","HSPA1B","856662","0.06222222222222222"
"3.5212177121771218","7.500569594737672E-4","0.2839926643961226","0.03896103896103896","22","9","0.614","false","","","1.0E-7","HSPA1A","45.31818181818182","0","22","0","0.9912760632796639","false","0","HSPA1A","1024932","0.06042203410624463"
"3.9312730627306274","1.7147923827475652E-4","0.25437052680980876","0.03636363636363636","11","8","0.428","false","","","0.913","HNRNPL","20.272727272727273","0","11","0","0.9898571866341501","false","0","HNRNPL","141622","0.11900826446280992"
"3.6915359778597785","1.030129501404994E-4","0.2708899509574236","0.09523809523809523","7","9","0.8","false","","","0.05968","TXN","70.14285714285714","0","7","0","0.9906867267202084","false","0","TXN","108810","0.15740142210730446"
"3.9024446494464944","7.523918754999887E-4","0.2562496306364872","0.0","15","9",,"false","","",,"SET","17.333333333333332","0","15","0","0.9899569389292507","false","0","SET","539312","0.07227138643067847"
"3.347209409594096","0.002896708542157637","0.29875633031315674","0.09446693657219973","39","8",,"false","","",,"HIF1A","42.76923076923077","0","39","0","0.9918781681328924","false","0","HIF1A","2869812","0.0456575682382134"
"4.025023062730627","2.2450523670497414E-5","0.24844578140667528","0.13333333333333333","6","8","0.75","false","","","0.148","PSTPIP1","26.0","0","6","0","0.9895327921704823","false","0","PSTPIP1","25008","0.19743589743589743"
