"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","HT_Pvalue","IsSingleNode","known_HT_gene","Known_MS_gene","MS_Pvalue","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"3.611760775141998","1.4143141073996433E-4","0.2768732654949121","0.43956043956043955","14","8","0.09336","false","","","0.06782","MAFK","24.357142857142858","0","14","0","0.9853271866565056","false","0","MAFK","17728","0.1485539000876424"
"3.9224858002004677","6.607056694636355E-5","0.25494037478705284","0.0","5","8",,"false","","",,"ZNF417","40.4","0","5","0","0.983581540448312","false","0","ZNF417","14736","0.24779874213836478"
"3.332776478449716","8.050166358109344E-4","0.30005012531328323","0.16911764705882354","17","7","0.676","false","","","0.584","ITK","34.88235294117647","0","17","0","0.9868945141660128","false","0","ITK","104890","0.10059676044330776"
"3.375542933511527","0.0016524674958395525","0.29624863901811344","0.02197802197802198","14","6","0.714","false","","","0.63","MLLT4","26.428571428571427","0","14","0","0.9866542531825195","false","0","MLLT4","136606","0.09594882729211088"
"3.8586702305379217","0.0","0.2591566369382631","0.0","1","7","0.376","false","","","1.66E-4","NSD1","58.0","0","1","0","0.9839400548846184","false","0","NSD1","0","0.0"
"4.593050451052456","0.0","0.21772022986833492","0.0","1","8","0.349","false","","","0.03491","CORO2A","9.0","0","1","0","0.9798143233086941","false","0","CORO2A","0","0.0"
"4.362512529234881","2.5814426476578123E-5","0.2292257026882132","0.3","5","8","0.854","false","","","8.97E-4","EIF4A1","5.0","0","5","0","0.9811094801728377","false","0","EIF4A1","2370","0.32"
"3.4146341463414633","2.820956803168336E-4","0.29285714285714287","0.06060606060606061","12","7",,"false","","",,"SPI1","34.416666666666664","0","12","0","0.9864346396272952","false","0","SPI1","34760","0.12113095238095238"
"4.243234213164049","6.677791853004604E-4","0.2356692913385827","0.0","2","7",,"false","","",,"RASA4P","17.5","0","2","0","0.9817795830721121","false","0","RASA4P","123160","0.515625"
"3.3912462412295357","0.0010408608472621116","0.2948768472906404","0.05555555555555555","9","6","0.877","false","","","0.00132","HNRNPM","54.333333333333336","0","9","0","0.9865660323526431","false","0","HNRNPM","145152","0.17653508771929824"
"3.6271299699298365","4.7480937789876834E-5","0.2757000736919676","0.3","5","7",,"false","","",,"POU1F1","42.0","0","5","0","0.9852408428655628","false","0","POU1F1","8602","0.2488095238095238"
