"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","GeneID","GeneSymbol","HT_Pvalue","IsSingleNode","known_HT_gene","Known_MS_gene","MS_Pvalue","name","NeighborhoodConnectivity","Node Class","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"4.424238929889299","0.0","0.22602757578127036","0.0","1","9",,"","0.211","false","","YES","0.00576","HSD17B4","52.0","","0","1","0","0.9881514223879264","false","0","HSD17B4","0","0.0"
"4.303044280442805","8.943599042531935E-5","0.2323936113195412","0.3333333333333333","3","9","1378","","0.679","false","","","0.03857","CR1","49.666666666666664","Neutral","0","3","0","0.9885707810365301","false","0","CR1","77356","0.34022988505747126"
"4.339137453874539","4.502390528033421E-6","0.23046054904461982","0.5","4","9","10992","","0.395","false","","","0.00114","SF3B2","23.25","Dispensable","0","4","0","0.9884458911630639","false","0","SF3B2","3626","0.3229166666666667"
"4.459870848708487","0.0","0.22422173958010136","0.0","1","9",,"","0.191","false","","YES","0.03527","CR1L","122.0","","0","1","0","0.9880281285511817","false","0","CR1L","0","0.0"
"4.244003690036901","7.701860001445552E-4","0.23562656233018148","0.0","10","9","4807","","0.611","false","","","0.04132","NHLH1","6.6","Dispensable","0","10","0","0.9887750737368965","false","0","NHLH1","505196","0.10980392156862745"
"3.9979243542435423","3.52792297302119E-5","0.25012979521199885","0.3333333333333333","3","9","2078","","0.151","false","","YES","0.04292","ERG","89.33333333333333","Neutral","0","3","0","0.989626559327877","false","0","ERG","34522","0.3423076923076923"
"3.606780442804428","1.9620494651123723E-4","0.27725557900121495","0.23333333333333334","16","9","11140","","0.07182","false","","","0.002356","CDC37","70.9375","Indispensable","0","16","0","0.9909799984678047","false","0","CDC37","422864","0.12358202443280977"
"3.4341559040590406","0.016526593168214674","0.29119237097478257","0.006124234470691163","127","8","11007","","0.551","false","","","0.04959","CCDC85B","9.850393700787402","Indispensable","0","127","0","0.9915773152108684","false","0","CCDC85B","14645932","0.014704032602953384"
"3.829220479704797","2.1095226434113464E-5","0.2611497575812329","0.4642857142857143","8","9","7124","","0.151","false","","","1.0E-7","TNF","61.875","Neutral","0","8","0","0.9902103097588069","false","0","TNF","48926","0.2028688524590164"
"4.436116236162362","6.589947375411997E-5","0.2254224070704445","0.0","2","9",,"","0.946","false","","","0.04436","PDE11A","71.0","","0","2","0","0.9881103244423447","false","0","PDE11A","49304","0.5"
"3.972670664206642","1.748428039292099E-4","0.2517198339670837","0.009523809523809525","15","8","29911","","0.367","false","","","0.00875","HOOK2","16.733333333333334","Indispensable","0","15","0","0.9897139423383853","false","0","HOOK2","202346","0.10236559139784947"
"3.836369926199262","3.718260872250401E-4","0.26066307974390573","0.022222222222222223","10","8","8764","","0.651","false","","YES","1.0E-7","TNFRSF14","39.8","Indispensable","0","10","0","0.9901855711896219","false","0","TNFRSF14","367162","0.13541666666666666"
"4.106780442804428","2.559581671386313E-4","0.2434997472903914","0.0","4","9","5460","","0.22","false","","","1.0E-7","POU5F1","23.5","Indispensable","0","4","0","0.9892498946615763","false","0","POU5F1","190140","0.25"
"4.232241697416974","2.1095922197271858E-6","0.23628140155849817","0.6666666666666666","3","9","4050","","0.175","false","","","1.0E-7","LTB","30.333333333333332","Indispensable","0","3","0","0.9888157726732978","false","0","LTB","5712","0.3611111111111111"
"4.797163284132841","0.0","0.20845652748732002","0.0","1","9",,"","0.48","false","","","0.04097","PHF5A","34.0","","0","1","0","0.9868610266985022","false","0","PHF5A","0","0.0"
"4.233510147601476","2.556461829953791E-4","0.2362106065971182","0.18181818181818182","12","9","25842","","0.227","false","","","0.01062","ASF1A","15.333333333333334","Indispensable","0","12","0","0.9888113835723132","false","0","ASF1A","387446","0.16760299625468164"
"3.827721402214022","6.530067273305312E-4","0.2612520335000301","0.10909090909090909","11","8","4055","","0.233","false","","YES","2.0E-6","LTBR","52.27272727272727","Neutral","0","11","0","0.9902154968781521","false","0","LTBR","611810","0.10258713618397412"
"4.593404059040591","2.0992345449173483E-5","0.2177034693980017","0.0","2","9","80304","","0.768","false","","","0.00503","C2orf44","24.5","Neutral","0","2","0","0.9875660759202747","false","0","C2orf44","15260","0.5"
"4.17619926199262","3.184545860387778E-4","0.23945217583388556","0.09523809523809523","7","8","5155","","0.08424","false","","","0.00591","PDGFB","16.428571428571427","Dispensable","0","7","0","0.9890096911349736","false","0","PDGFB","263278","0.1702127659574468"
"3.491466789667897","0.0034721646632811763","0.28641257678842724","0.08258258258258258","37","9","5515","","0.225","false","","","8.8E-5","PPP2CA","26.72972972972973","Indispensable","0","37","0","0.9913790076482079","false","0","PPP2CA","3052144","0.04001139693910778"
