GeneID	GeneSymbol	Node Class
3559	IL2RA	Neutral
1855	DVL1	Indispensable
9223	MAGI1	Indispensable
432	ASGR1	Neutral
84816	RTN4IP1	Dispensable
57524	CASKIN1	Dispensable
84867	PTPN5	Dispensable
10083	USH1C	Neutral
79797	ZNF408	Neutral
5349	FXYD3	Dispensable
5713	PSMD7	Neutral
8649	MAPKSP1	Neutral
10949	HNRNPA0	Dispensable
10256	CNKSR1	Indispensable
83933	HDAC10	Dispensable
10787	NCKAP1	Dispensable
221692	PHACTR1	Dispensable
5217	PFN2	Indispensable
9973	CCS	Neutral
708	C1QBP	Indispensable
8519	IFITM1	Dispensable
11146	GLMN	Dispensable
10923	SUB1	Indispensable
57332	CBX8	Neutral
2814	GP5	Dispensable
710	SERPING1	Neutral
126070	ZNF440	Dispensable
7087	ICAM5	Neutral
23149	FCHO1	Dispensable
9217	VAPB	Dispensable
112	ADCY6	Neutral
151888	BTLA	Dispensable
3211	HOXB1	Indispensable
4613	MYCN	Neutral
83878	USHBP1	Indispensable
5097	PCDH1	Dispensable
26289	AK5	Indispensable
1944	EFNA3	Dispensable
9935	MAFB	Dispensable
55437	STRADB	Neutral
10458	BAIAP2	Neutral
8851	CDK5R1	Indispensable
6257	RXRB	Neutral
25766	PRPF40B	Dispensable
3750	KCND1	Neutral
55020	TTC38	Dispensable
10158	PDZK1IP1	Dispensable
23613	ZMYND8	Neutral
9255	SCYE1	Dispensable
5337	PLD1	Neutral
8073	PTP4A2	Neutral
4649	MYO9A	Dispensable
84280	BTBD10	Neutral
9133	CCNB2	Dispensable
2099	ESR1	Indispensable
7123	CLEC3B	Neutral
6181	RPLP2	Dispensable
3217	HOXB7	Neutral
5745	PTH1R	Neutral
4923	NTSR1	Dispensable
6513	SLC2A1	Dispensable
2250	FGF5	Dispensable
55698	RADIL	Neutral
1901	S1PR1	Indispensable
10134	BCAP31	Neutral
3500	IGHG1	Neutral
7409	VAV1	Indispensable
25888	ZNF473	Neutral
55037	PTCD3	Neutral
170961	ANKRD24	Dispensable
1001	CDH3	Dispensable
389692	MAFA	Neutral
3694	ITGB6	Neutral
23193	GANAB	Neutral
6997	TDGF1	Neutral
51780	JMJD1B	Dispensable
3458	IFNG	Dispensable
3054	HCFC1	Indispensable
1182	CLCN3	Dispensable
142	PARP1	Indispensable
207	AKT1	Indispensable
10450	PPIE	Neutral
1510	CTSE	Dispensable
25978	CHMP2B	Indispensable
63940	GPSM3	Dispensable
79050	NOC4L	Dispensable
8667	EIF3H	Neutral
51031	GLOD4	Dispensable
3170	FOXA2	Indispensable
5795	PTPRJ	Neutral
8607	RUVBL1	Neutral
10537	UBD	Neutral
115426	UHRF2	Dispensable
26353	HSPB8	Dispensable
3135	HLA-G	Indispensable
4356	MPP3	Neutral
3665	IRF7	Neutral
7054	TH	Dispensable
5981	RFC1	Indispensable
8891	EIF2B3	Neutral
23385	NCSTN	Neutral
79849	PDZD3	Indispensable
7041	TGFB1I1	Neutral
56288	PARD3	Indispensable
54550	NECAB2	Neutral
55388	MCM10	Indispensable
659	BMPR2	Indispensable
57144	PAK7	Neutral
6017	RLBP1	Neutral
984	CDC2L1	Dispensable
1155	TBCB	Dispensable
22976	PAXIP1	Neutral
147687	ZNF417	Neutral
93986	FOXP2	Dispensable
8848	TSC22D1	Indispensable
84172	POLR1B	Neutral
64388	GREM2	Dispensable
284169	284169	Neutral
25833	POU2F3	Dispensable
64321	SOX17	Dispensable
6048	RNF5	Dispensable
490	ATP2B1	Neutral
1843	DUSP1	Neutral
10516	FBLN5	Neutral
51305	KCNK9	Dispensable
84315	MON1A	Dispensable
2626	GATA4	Indispensable
1112	FOXN3	Neutral
9044	BTAF1	Neutral
6502	SKP2	Indispensable
1294	COL7A1	Indispensable
23365	ARHGEF12	Indispensable
23022	PALLD	Dispensable
26258	PLDN	Neutral
7352	UCP3	Dispensable
22943	DKK1	Neutral
388677	NOTCH2NL	Dispensable
64403	CDH24	Dispensable
22931	RAB18	Dispensable
782	CACNB1	Neutral
10016	PDCD6	Neutral
25934	NIPSNAP3A	Neutral
10111	RAD50	Neutral
6874	TAF4	Neutral
10544	PROCR	Neutral
80345	ZSCAN16	Neutral
4987	OPRL1	Neutral
6883	TAF12	Neutral
27101	CACYBP	Neutral
2876	GPX1	Dispensable
3607	FOXK2	Dispensable
10114	HIPK3	Indispensable
3428	IFI16	Neutral
8029	CUBN	Neutral
84552	PARD6G	Dispensable
3015	H2AFZ	Dispensable
8451	CUL4A	Neutral
